Title;Salary;Company;Location;Date
Руководитель интернет-проектов;120 000-250 000 KZT;ТОО Компания Web-master.kz, ТМ (Корж, ИП);Караганда;20 ноября
Стажер BI;от 120 000 KZT;ТОО UCO;Алматы;20 ноября
Администратор учебного класса;от 150 000 KZT;ТОО HR Капитал CA;Алматы;18 ноября
Помощник тестировщика;; INTECH;Алматы;25 ноября
Младший аналитик в Департамент рисков;;АО Банк Хоум Кредит, ДБ АО;Алматы;25 ноября
Техник - Инкассатор;170 000-200 000 KZT;ТОО DDK Group;Алматы;16 ноября
Стажер SAP (warehouse intern);;ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» );Нур-Султан;11 ноября
Аналитик (Data Science);;ТОО Phaeton DC;Алматы;18 ноября
Стажер SAP (Warehouse intern);;ТОО Coca-Cola İçecek Kazakhstan  ( ТОО СП «Кока-Кола Алматы Боттлерс» );Алматы;16 ноября
Специалист по контенту;до 190 000 KZT;АО Казахтелеком;Алматы;20 ноября
Копирайтер/рерайтер (на английском языке);70 000-90 000 руб.; Content Creative Agency;Алматы;30 октября
Стажер Центра экспертизы RPA («Корпоративный университет «Самрук-Казына»);; Частное учреждение «Корпоративный университет «Самрук-Казына»;Нур-Султан;2 ноября
Cтажер на Тезис/next cloud;от 120 000 KZT;ТОО UCO;Алматы;20 ноября
Junior UI/UX (Начинающий);;Общ. орг. Центр анализа и расследования кибер атак;Нур-Султан;19 ноября
Оператор call-центра (удаленная работа);до 25 000 руб.;;Алматы;10 ноября
Специалист отдела телемаркетинга (удаленная работа);; Beeline, ТМ;Алматы;18 ноября
Оператор систем видеонаблюдения;15 000-25 000 руб.; SteadyControl;Павлодар;27 октября
Контент-менеджер (товары);; Mebels.kz, Интернет-магазин Мебели и Дверей, Каменев Д.В. ИП;Караганда;18 ноября
Интерн UX/UI Департамента аналитических систем;;АО Народный банк Казахстана;Алматы;18 ноября
Системный администратор;от 90 000 KZT;ТОО IT Support Group;Алматы;10 ноября
Intern - Analyst/Assistant (стажер);;ТОО GMN;Алматы;12 ноября
Junior backend developer;80 000-300 000 KZT;ТОО Canvas;Нур-Султан;9 ноября
Стажер в IT Отдел;;ТОО VILED GROUP;Алматы;5 ноября
Специалист технической поддержки;150 000-250 000 KZT;ТОО EA Group Holding;Алматы;6 ноября
IT-специалист;от 190 000 KZT;ТОО Доктор Веб - Центральная Азия, ТОО;Алматы;26 ноября
Интернет-маркетолог (Internet marketing manager);от 150 000 KZT;ТОО TerraNET;Алматы;10 ноября
Оператор интернет-магазина;до 120 000 KZT;ТОО Domplast;Караганда;17 ноября
Стажер отдела IT;;ТОО Компания ЭВРИКА;Шымкент;26 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Нур-Султан;18 ноября
Стажер-программист 1С;от 90 000 KZT;ТОО Первый БИТ;Алматы, Алатау;10 ноября
Layout Developer;;АО ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ НАРОДНОГО БАНКА КАЗАХСТАНА HALYK FINSERVICE;Алматы;25 ноября
Java Developer;;ООО Accenture;Алматы;23 ноября
Системный администратор;180 000-220 000 KZT;ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;12 ноября
Младший маркетолог (Стажер в отдел Маркетинга);100 000-120 000 KZT;ТОО ТССП Казахстан;Нур-Султан;24 ноября
Программист-разработчик;;АО Дочерняя организация Народного Банка Казахстана Страховая компания Халык;Алматы;11 ноября
Программист баз данных в службу техподдержки;80 000-200 000 KZT;ИП Акулов;Алматы;25 ноября
Специалист по IT;120 000-150 000 KZT;ТОО ARTEL ASTANA (АРТЕЛ АСТАНА);Нур-Султан;13 ноября
Разработчик сайта;180 000-250 000 KZT;ИП Центр Развития Предпринимателей;Нур-Султан;12 ноября
SMM-менеджер (по работе с контентом);до 150 000 KZT;ИП Universal Marketing Group;Караганда;24 ноября
Контент - менеджер/ копирайтер;100 000-100 000 KZT;ИП CardEхpress;Алматы;25 ноября
Инженер линейных сооружений связи и абонентских устройств;;АО Казахтелеком;Сарканд;23 ноября
Стажер-программист 1С;от 60 000 KZT;ТОО AVITIM;Алматы, Драмтеатр имени Ауэзова;9 ноября
Инженер-электронщик;100 000-300 000 KZT;ТОО АТОЗ;Алматы;28 октября
Младший консультант (управленческое консультирование);;ТОО Dostyk Advisory;Нур-Султан;17 ноября
Специалист по мониторингу СМИ и соцсетей;90 000-200 000 KZT;ТОО iMAS GROUP;Нур-Султан;28 октября
Tik Tok мейкер;от 150 000 KZT;ТОО ZHAN ALEMI GROUP;Шымкент;16 ноября
Разработчик пользовательского интерфейса;от 200 000 KZT;ТОО DevArt;Алматы;2 ноября
Sap специалист;100 000-120 000 KZT;ТОО Line System Engineering, ТОО;Алматы;16 ноября
C#/.NET разработчик (Middle);;ТОО Gexabyte;Алматы, Абая и еще 1 ;16 ноября
Специалист внедрения/Специалист технической поддержки (Удаленно);20 000-70 000 руб.;ООО ИнтеллектДиалог;Алматы;13 ноября
Системный администратор;от 300 000 KZT;ТОО Alpha-Safety;Усть-Каменогорск;10 ноября
Data Science;400 000-600 000 KZT;ТОО Vitatrade;Алматы;16 ноября
Программист по бизнес-аналитике;;ТОО Прима Distribution;Алматы;24 ноября
Frontend developer;;ТОО InCraft;Алматы;17 ноября
Эксперт-оценщик;110 000-150 000 KZT;ТОО Expert Lab Company;Отеген-Батыр;7 ноября
Java-разработчик (Middle);;ТОО Gexabyte;Алматы, Абая и еще 1 ;16 ноября
Специалист по обслуживанию физических лиц;;АО Казахтелеком;Алматы;8 ноября
Менеджер по продажам;;ИП HR Solutions (ТМ Белый Ветер KZ);Павлодар;23 ноября
Руководитель отдела по работе с клиентами;30 000-55 000 руб.;ИП Сёмина Наталья Викторовна;Нур-Султан;23 ноября
Консультант службы технической поддержки;;ТОО Esepshi.kz;Нур-Султан;25 ноября
Специалист по продажам (удаленно);; Beeline, ТМ;Шымкент;18 ноября
Системный администратор;от 120 000 KZT;ТОО First sale;Алматы;2 ноября
Инженер электросвязи;;АО Казахтелеком;Алматы;23 ноября
Специалист службы поддержки пользователей (со знанием казахского языка);110 000-130 000 KZT;ТОО 7Лайн;Алматы;16 ноября
Junior Python Developer;;ТОО iMAS GROUP;Семей;30 октября
Техник-программист;;ТОО Майкубен-Вест;Экибастуз;13 ноября
Контент-менеджер/маркетолог;130 000-150 000 KZT;ТОО ARDES;Алматы;24 ноября
Стажер в отдел внедрения и сопровождения 1С;; 1С:Франчайзинг Ваниев;Алматы, Сайран;25 ноября
SQL разработчик;до 135 000 KZT;АО First Heartland Jýsan Bank;Алматы;11 ноября
Специалист отдела технической поддержки;от 30 000 руб.; Sipuni.com;Алматы;13 ноября
IT-специалист;180 000-220 000 KZT;ТОО ProMebel, ТМ (ТОО IDIA Market);Алматы;25 ноября
Оператор call-центра (отдел продаж);от 150 000 KZT;ТОО МЦФЭР-Казахстан;Алматы;23 ноября
Стажер на тренинг Software Testing Introduction;;ТОО Epam Kazakhstan (Эпам Казахстан),ТОО;Караганда;26 ноября
Старший инженер отдела мониторинга транспортной сети;; Beeline, ТМ;Алматы;19 ноября
Консультант 1С (в отдел регионального развития);от 150 000 KZT;ТОО АзияShymСервис;Нур-Султан;11 ноября
HR Директор;от 300 000 KZT;ТОО HR Капитал CA;Алматы;18 ноября
Менеджер по продажам услуг;до 500 000 KZT;ТОО HR Капитал CA;Алматы;18 ноября
Junior Oracle Data base administrator;; Kaspi Bank, АО;Алматы;4 ноября
Ассистент менеджера проектов (помощник менеджера проектов) в городе Нур-Султан;;ТОО Ракетная фирма;Нур-Султан;16 ноября
Интернет-маркетолог;;ТОО HR Капитал CA;Алматы;16 ноября
Full Stack разработчик;300 000-700 000 KZT;ТОО Spaceduck;Алматы;26 ноября
Менеджер по продажам IT услуг;100 000-250 000 KZT;ТОО Реал Сити;Алматы;5 ноября
Оператор call-центра (со знанием казахского языка и русского языка);110 000-130 000 KZT;ТОО 7Лайн;Алматы;16 ноября
Младший разработчик (PHP);;АО TECHNODOM Operator (Технодом Оператор);Алматы;25 ноября
Контент менеджер;150 000-150 000 KZT;ТОО e-shop;Нур-Султан;16 ноября
Художник-преподаватель;70 000-150 000 KZT;ИП Astana ART;Нур-Султан;12 ноября
Оператор call-центра;60 000-140 000 KZT;ТОО Смартер Казахстан;Шымкент;26 ноября
Монтажник связи;;ТОО Коркем Телеком;Шымкент;26 ноября
Менеджер по сопровождению клиентов;150 000-300 000 KZT;ТОО Первый БИТ;Алматы, Алатау;26 ноября
Продавец-консультант;;ТОО Fora;Караганда;11 ноября
Администратор баз 1С;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;16 ноября
Оператор колл-центра (Фармацевт);120 000-130 000 KZT;ТОО 7Лайн;Алматы;23 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Павлодар;18 ноября
Менеджер по продажам;от 70 000 KZT;ТОО 2GIS Astana;Нур-Султан;6 ноября
Техник участка магистральных линий;;АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ);Караганда;5 ноября
Заведующий складом;; Казтелепорт, АО;Алматы;17 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Актобе;18 ноября
Программист-стажер 1С;от 50 000 KZT;ТОО Ристарт Технологии;Алматы;24 ноября
Менеджер по продажам;420 000-1 600 000 KZT;ТОО АльДиС;Алматы;25 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Семей;18 ноября
Менеджер по работе с клиентами;100 000-350 000 KZT;ИП Сервис com;Усть-Каменогорск;9 ноября
Сервисный инженер (медицинское оборудование);от 150 000 KZT;ТОО ЛОКАЛ ФАРМ;Нур-Султан;23 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Атырау;18 ноября
Специалист технической поддержки;60 000-150 000 KZT;ТОО Сәтті Телеком;Кызылорда;8 ноября
Менеджер-консультант 1С;;ТОО Profi Soft;Костанай;29 октября
Региональный менеджер по продажам;;ТОО Esepshi.kz;Нур-Султан;2 ноября
Контент-менеджер;;ТОО МЕГА-МАКС;Шымкент;19 ноября
Системный администратор - Ведущий инженер IT;от 300 000 KZT;ТОО SMARTNET;Алматы;24 ноября
Специалист по технической поддержке;;ТОО Platonus;Алматы, Жибек Жолы;29 октября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Кызылорда;18 ноября
Специалист по продажам (удаленно);; Beeline, ТМ;Уральск;18 ноября
Электромонтер связи (г. Нур-Султан);;АО Казахтелеком;Нур-Султан;20 ноября
Менеджер по проектам;145 000-250 000 KZT;ТОО XFinity Solutions;Алматы, Абая;25 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Тараз;18 ноября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Усть-Каменогорск;18 ноября
Продавец-консультант;;ТОО Fora;Усть-Каменогорск;23 ноября
2D Художник по окружению;160 000-200 000 KZT;ТОО TECHNICAL CAPABILITIES CIS;Алматы;8 ноября
Монтажник СКС;150 000-190 000 KZT;ТОО ST Integrator Company;Алматы;16 ноября
Менеджер по рекламе;60 000-200 000 KZT;ТОО AIO Corporation;Алматы;24 ноября
Монтажник слаботочных систем;;ИП Интегрированные Системы Безопасности;Актау;24 ноября
Разработчик баз данных;от 250 000 KZT;ТОО Smart Remont;Нур-Султан;24 ноября
Менеджер по сопровождению клиентов (Консалтинговые проекты);130 000-180 000 KZT;ТОО Mladex (Mladex Pharm Consulting Group);Алматы;6 ноября
Ассистент руководителя;120 000-150 000 KZT;ТОО Лайк Центр Астана;Нур-Султан;11 ноября
"Техник по работе с абонентами РКЦ ""Оңтүстік"" г. Алматы";;АО Казахтелеком;Алматы;16 ноября
Специалист по продажам В2С;;АО Казахтелеком;Алматы;8 ноября
HR Специалист по подбору Персонала;200 000-350 000 KZT;ТОО Этажи, ТМ (ТОО Etagi Almaty);Нур-Султан;23 ноября
CS Representative (TR) / Специалист технической поддержки на турецком языке;; Playrix;Алматы;11 ноября
UX designer;; Kaspi Bank, АО;Алматы;4 ноября
Помощник руководителя (по маркетингу);150 000-150 000 KZT;ТОО e-shop;Нур-Султан;16 ноября
Менеджер по продажам в Kcell Store;; Кселл, АО;Нур-Султан;26 ноября
Монтажник систем ОП сигнализации и видеонаблюдения;120 000-150 000 KZT;ТОО РусорМеталл;Караганда;30 октября
Специалист по продажам (удаленная работа);; Beeline, ТМ;Актау;18 ноября
Главный специалист Отдела безопасности IT сети;200 000-200 000 KZT;АО АТФБанк;Алматы;11 ноября
Аналитик по продажам;160 000-160 001 KZT;ТОО Алтын Алма;Нур-Султан;17 ноября
Электромонтер связи;от 90 000 KZT;ТОО Центр профессиональных услуг ЭКСИМОП;Алматы;12 ноября
Электромонтер связи (г. Сатпаев);;АО Казахтелеком;Сатпаев;20 ноября
Менеджер по региональному развитию;от 200 000 KZT;ТОО МДРегион.КЗ;Павлодар;10 ноября
Монтажник слаботочных систем;130 000-150 000 KZT;ТОО Профессиональная военизированная аварийно-спасательная служба Нұр Құтқарушы;Нур-Султан;4 ноября
Remote Customer Support Officer (with English and Arabic languages);35 000-64 000 руб.; IQ Option;Алматы;12 ноября
Менеджер IT Сервиса;;АО Aitas KZ;Алматы;17 ноября
Consultant, Data Science, ITA;;ТОО KPMG;Алматы;6 ноября
Оператор проверочного стола;;АО TECHNODOM Operator (Технодом Оператор);Усть-Каменогорск;6 ноября
Consultant, Data Science, ITA;;ТОО KPMG;Нур-Султан;6 ноября
Торговый агент, г. Павлодар (Восточной РДТ);;АО Казахтелеком;Павлодар;29 октября
Менеджер по продажам строительных материалов;90 000-300 000 KZT;ИП Теплодом (StroyMax, TM);Алматы, Райымбек батыра;19 ноября
Специалист Группы Soft-Collection Контакт-центра Дивизиона по розничному бизнесу в г. Шымкент;;АО Казахтелеком;Шымкент;4 ноября
Менеджер по работе с клиентами;80 000-200 000 KZT;ТОО Net Light Lab;Алматы;24 ноября
Менеджер в технико-хозяйственный отдел;до 200 000 KZT;ИП Детская секция робототехники Лига роботов;Нур-Султан;26 ноября
Менеджер по продажам;;ТОО ARCADA;Караганда;23 ноября
Преподаватель по программированию;350-750 USD; IT школа Hello world;Нур-Султан;12 ноября
Менеджер по продажам;;ТОО IT Support Group;Алматы, Драмтеатр имени Ауэзова;26 ноября
Специалист по обслуживанию клиентов;98 000-150 000 KZT;ТОО Goodfix;Алматы;17 ноября
Специалист по IT;;ТОО Logitex;Атырау;25 ноября
Менеджер по работе с вендорами (в сфере IT);;ТОО Алси;Алматы;17 ноября
Менеджер проектов с опытом внедрения SAP;;ТОО МЕЧТА, ТМ (Мечта Маркет, ТОО);Нур-Султан;4 ноября
Инженер поддержки ИТ сервисов;; Kaspi Bank, АО;Усть-Каменогорск;9 ноября
Оператор call-центра;60 000-140 000 KZT;ТОО Смартер Казахстан;Шымкент;26 ноября
Электромеханик связи ЦТПК Help Desk;;АО Казахтелеком;Павлодар;2 ноября
Специалист колл-центра;100 000-120 000 KZT;ТОО Almaty Enterprising Company Ltd (Алматы Интерпрайзинг компани ЛТД);Алматы;29 октября
Менеджер по продажам;70 000-300 000 KZT; СК Сентрас Иншуранс, АО;Алматы;12 ноября
Монтажник;80 000-150 000 KZT;ТОО Сәтті Телеком;Шымкент;12 ноября
Проектный менеджер;120 000-150 000 KZT;ТОО Синтегра;Караганда;11 ноября
Электромонтер линейных сооружений электросвязи 4 разряда, г. Алматы;;АО Казахтелеком;Алматы;6 ноября
Специалист по сервису;; Beeline, ТМ;Костанай;10 ноября
Менеджер по работе с авторами;80 000-100 000 KZT; РОО КАЗАХСТАНСКОЕ АВТОРСКОЕ ОБЩЕСТВО;Алматы, Алатау;26 ноября
Электромонтер связи, г. Щучинск;;АО Казахтелеком;Щучинск;10 ноября
Ведущий специалист по банковским операциям;;ИП Кенжебаева К.П.;Алматы;20 ноября
Электромонтер электропитающих устройств (г. Караганда);;АО Казахтелеком;Караганда;10 ноября
Комьюнити-менеджер;до 160 000 KZT;АО Сәтті Жұлдыз;Алматы, Райымбек батыра;12 ноября
Электромонтер связи (г. Караганда);;АО Казахтелеком;Караганда;12 ноября
Менеджер It проектов;от 200 000 KZT;ТОО Vista Systems;Алматы;24 ноября
Электромонтер подземных сооружений и коммуникаций связи;;АО Казахтелеком;Алматы;12 ноября
Программист 1С;200 000-280 000 KZT;ТОО КоКо Корейская косметика;Алматы;1 ноября
Программист-разработчик;;ТОО Бақ-ЛИЧ;Костанай;19 ноября
Преподаватель по программированию в онлайн-школу (удаленно);;ИП Хамитов И.Ж;Алматы;13 ноября
Менеджер по продажам розничной торговли;150 000-500 000 KZT;ТОО Первый БИТ;Алматы, Алатау;25 ноября
Монтажник СКС;от 150 000 KZT;ТОО Аскет (ТМ СОЮЗ медиа групп);Петропавловск;13 ноября
Технический координатор;;ТОО Astana Orleu Conference Inc;Нур-Султан;24 ноября
Оператор call-центра;60 000-140 000 KZT;ТОО Смартер Казахстан;Шымкент;26 ноября
Электромонтер 5 разряд, Линейно-абонентский цех, г. Алматы;;АО Казахтелеком;Алматы;8 ноября
"Специалист по продажам Центра региональных продаж РДТ ""Алматытелеком""";;АО Казахтелеком;Алматы;7 ноября
Директор по развитию бизнеса;400 000-500 000 KZT;ТОО Торговый дом Кирпичного завода №1 имени 15-ти лет;Нур-Султан;24 ноября
